iter	Passed	Remaining
764	37145	11410
765	37195	11362
766	37227	11309
767	37264	11257
768	37313	11208
769	37369	11162
770	37420	11114
771	37454	11061
772	37506	11014
773	37542	10961
774	37574	10908
775	37626	10861
776	37674	10812
777	37724	10764
778	37775	10716
779	37818	10666
780	37863	10617
781	37895	10564
782	37943	10515
783	37996	10468
784	38045	10419
785	38089	10370
786	38123	10318
787	38168	10268
788	38221	10221
789	38269	10172
790	38318	10124
791	38365	10075
792	38413	10027
793	38457	9977
794	38496	9926
795	38529	9874
796	38568	9823
797	38622	9776
798	38673	9728
799	38722	9680
800	38765	9630
801	38818	9583
802	38863	9534
803	38905	9484
804	38938	9432
805	38982	9382
806	39026	9333
807	39066	9283
808	39117	9235
809	39167	9187
810	39222	9140
811	39274	9093
812	39317	9043
813	39360	8993
814	39415	8947
815	39465	8899
816	39496	8846
817	39545	8798
818	39600	8751
819	39644	8702
820	39683	8652
821	39724	8602
822	39767	8552
823	39819	8505
824	39871	8457
825	39914	8408
826	39962	8359
827	40013	8312
828	40051	8261
829	40104	8214
830	40153	8165
831	40204	8118
832	40251	8069
833	40295	8020
834	40332	7969
835	40373	7920
836	40407	7869
837	40457	7821
838	40515	7774
839	40559	7725
840	40597	7675
841	40641	7626
842	40693	7578
843	40741	7530
844	40793	7482
845	40837	7433
846	40879	7384
847	40914	7333
848	40960	7285
849	41000	7235
850	41035	7184
851	41086	7137
852	41131	7088
853	41180	7040
854	41225	6991
855	41271	6942
856	41323	6895
857	41374	6847
858	41424	6799
859	41479	6752
860	41527	6704
861	41574	6655
862	41631	6608
863	41677	6560
864	41729	6512
865	41786	6465
866	41834	6417
867	41891	6370
868	41945	6323
869	41989	6274
870	42033	6225
871	42066	6174
872	42112	6126
873	42157	6077
874	42206	6029
875	42259	5981
876	42289	5931
877	42354	5885
878	42406	5837
879	42458	5789
880	42502	5740
881	42547	5692
882	42598	5644
883	42647	5596
884	42692	5547
885	42735	5498
886	42785	5450
887	42833	5402
888	42875	5353
889	42907	5303
890	42959	5255
891	42999	5206
892	43029	5155
893	43079	5107
894	43112	5057
895	43162	5009
896	43208	4961
897	43261	4913
898	43291	4863
899	43341	4815
900	43372	4765
901	43416	4717
902	43462	4668
903	43506	4620
904	43548	4571
